,sentence,label
0,hi,assertive
1,this is C,assertive
2,i need to make some um uh travel arrangements please,assertive
3,what's the passenger's last name,interrogative
4,it's DDD D D D,assertive
5,and first name,interrogative
6,is DDD D D D,assertive
7,what day would he like to travel,interrogative
8,he needs to go on Tuesday May 9th,assertive
9,from San Fran to Philadelphia,assertive
10,on United flight 94,assertive
11,that's the 1:30 to 9:39 non-stop,assertive
12,i've got that for him,assertive
13,and returning when,interrogative
14,let's leave the return open right now,assertive
15,he needs to figure that out,assertive
16,and ohh,exclamatory
17,shall we wait on anything else until we know what eh what day he's returning,interrogative
18,if we could,assertive
19,he's got um,assertive
20,as long as he's got a slot on that flight,assertive
21,we're okay,assertive
22,we should know sometime this afternoon,assertive
23,if you want to give me a call back,assertive
24,will do,assertive
25,thanks,assertive
26,thank you,assertive
27,bye bye,assertive
28,bye now,assertive
29,good afternoon,assertive
30,Virgin Trainlines,assertive
31,Sandra speaking,assertive
32,for which journey do you wish to purchase a ticket,interrogative
33,from Durham to Leeds please,assertive
34,from Durham to Leeds,interrogative
35,do you hold a current debit or credit card,interrogative
36,and how many people's travelling,interrogative
37,4,assertive
38,is that 4 adults,interrogative
39,does anyone have a railcard,interrogative
40,and what date is it you're travelling,interrogative
41,i want to know erm,imperative
42,because obviously i want,imperative
43,it's just for the day,assertive
44,i only want to go for the day,assertive
45,what date is it you're travelling,interrogative
46,either the 27th or the 28th of October,assertive
47,do you want to book the tickets just now,interrogative
48,the 27th is a Tuesday,assertive
49,what time would you like to depart Durham,interrogative
50,6:53 please,assertive
51,that's 6:53 from Durham,assertive
52,you arrive in Leeds at 10:11,assertive
53,and when is it you're returning,interrogative
54,i would like to come home about fiveish,imperative
55,the same day,interrogative
56,the cheapest fare that i'm checking for is the Virgin Value Return which is 12 pounds each,assertive
57,the only availability with that fare in the evening is on the 19:09 train from Leeds,assertive
58,arriving at 20:26,assertive
59,19:09,assertive
61,and you arrive in Durham at,interrogative
62,20:26,assertive
64,but wh...,imperative
65,that's for the Tuesday,assertive
66,what about for the Wednesday,interrogative
67,the Wednesday's the same,assertive
68,there's not any allocation earlier on  at the times that you want for the Virgin Value fare,assertive
69,the  latest one is 14:50 in the afternoon,assertive
70,so i can still leave during this 6:53,interrogative
71,on the Wednesday,interrogative
72,and  arrive at  10:11,interrogative
73,that's  correct,assertive
74,and  i can leave Leeds at,interrogative
76,i've got er just heard the other one er was  14 something,assertive
77,50 in the afternoon,assertive
78,15 what,interrogative
79,14:50,assertive
80,50,assertive
81,that's 10 to 3 isn't it,interrogative
82,ah,exclamatory
83,can i have the 19:09 then as well then on the Wednesday,interrogative
84,not the Tuesday,interrogative
85,what about the Wednesday,interrogative
86,the Wednesday's available,assertive
87,at 19:09,interrogative
88,and is there one about fiveish on the Wednesday or not,interrogative
89,i'm saying there's no allocation there at all  any time during the week,assertive
90,i can come home on the 19:09,assertive
91,what date do you want me to book for you,interrogative
92,the Wednesday please,assertive
93,the 28th,interrogative
