,sentence,label
0,this is your reference number your tickets have been booked under,assertive
1,you must stick the dates and times that you book,assertive
2,the other thing is,assertive
3,and i would like to plan a trip,imperative
4,and into th... Moscow,assertive
5,and there's nothing in between th... even with uh confirmed date that would allow for a cancellation at anytime before the,assertive
6,business round trip would be 3208,assertive
7,i'm afraid there's not any available for the Sunday,assertive
8,Choose your battles,imperative
9,there's not any Virgin Value fares,assertive
10,the 18 twe...,assertive
11,and he needs to go to Montreal,assertive
12,we say it's a return journey,imperative
13,and the Visa number please,assertive
14,for tomorrow,interrogative
15,2 o'clock is the earliest,assertive
16,5 9 36  Road North,assertive
17,you mean two in the afternoon i would arrive,interrogative
18,it's  giving me all the legal connections available,assertive
19,that's United flight 1 7 5,assertive
20,there   are so many things i don't know about this,assertive
21,and into uh Vancouver at uh 9:40,assertive
22,i i you know i would like to arrive there certainly before 6 a m in the morning on Monday,imperative
23,US Air flight has a flight at 7:55 a m,assertive
24,and i could print out an itinerary for you,assertive
25,or 7:30 at the latest,assertive
26,and within the three seat section,assertive
27,i want er two tickets to er from er Leicester to Newton Abbot,imperative
28,wherever Saudia flies out of to Riyadh,assertive
29,Call me tomorrow,imperative
30,United flight number 12,assertive
31,would it,interrogative
32,Drive to the roundabout and then turn left,imperative
33,that's lovely then,assertive
34,i just want to find out about the cheap train,assertive
35,thank  you calling now,assertive
36,is it going to be the same itinerary,interrogative
37,that's that's confirmed now,assertive
38,out of Phoenix at 9:25 a m,assertive
39,this is AB,assertive
40,if it is possible after,assertive
41,and the total,assertive
42,you want me to price this and see what we get for the lowest available fare,interrogative
43,Wake up now!,imperative
44,gets back into Liverpool 20:56,assertive
45,it was ticketed at a fare of 1091,assertive
46,and i do have the travel advance,assertive
47,how many   nights,interrogative
48,arriving at 17:30,imperative
49,do you have any seat preference,interrogative
50,and that's Sunday the 4th of October,interrogative
51,this is a new reservation,interrogative
52,you want to still go ahead and do it today,interrogative
53,discount works out to 30 pounds 70,assertive
54,358 would apply,assertive
55,is is that what they normally do,interrogative
56,we'll just ticket as far as Copenhagen,imperative
57,could you give me your contact telephone number,interrogative
58,and i can't make it for that train or i want to go on a later one,imperative
59,United has a 9:47 connection through Chicago,assertive
60,when do you want to change it to,interrogative
61,that's travelling tomorrow from Nuneaton to Euston on the 7:13 train in the morning,assertive
62,how do we do that,interrogative
63,Raid the Berber people.,imperative
64,and staying the night of the 8th,assertive
65,it just connects to another flight to Oakland rather then to San Francisco,assertive
66,this is A with American Express returning your call,assertive
67,but for the moment,assertive
68,there are later flights,assertive
69,it's 1 98 each way on the airline,assertive
70,i'm just jotting this down for further reference,imperative
71,Heat the pan with oil.,imperative
72,and what's the name of the company,interrogative
73,do you want me to book this ticket,interrogative
74,i'm booking from Euston to Birmingham New Street,imperative
75,Turn around in 300 meters,imperative
76,and i will put it in right now so i have it,assertive
77,that that's fine,assertive
78,the non-stop flight seems to be more appealing to me,assertive
79,if you needed to change any of the time of travel,assertive
80,when i ask Hong Kong Soviet Union,assertive
81,because the system's actually changed,assertive
82,Show me the money!,imperative
83,stop playing with your food,imperative
84,Let it heal.,imperative
85,we should be able to do it,assertive
86,the one second Canadian Air,assertive
87,tomorrow is Friday,assertive
88,we just have to put in um a um a fake fake date in there so it reads it,assertive
89,that's where the tickets will be posted out to you,assertive
90,that's confirmed right now,assertive
91,i can't remember,assertive
92,checking in on the 7th,assertive
93,Don't stay out too late.,imperative
94,so coming back,assertive
95,do you have a late flight out on the 23rd,interrogative
96,they told me 86 dollars plus tax,assertive
97,so he can make a decision,assertive
98,connecting to SAS flight 9 3 0 2,assertive
99,and so the the Friday,assertive
100,"Let us go to the college together. Then you can come bo my dorm at night, and we can have a good time!",imperative
101,what time was Sunday,interrogative
102,she said that if we don't ticket,assertive
103,there are other flights,assertive
104,for the um the fare quote from San Francisco to Frankfurt on the TWA flight that he's on,assertive
105,he'd be going into Gatwick and leaving out of Heathrow,assertive
106,and your expiry date,interrogative
107,Turn off the wifi.,imperative
108,and the time  of uh when he places and time of booking  and yeah the actual reservation,assertive
109,you think that's that's all it takes,imperative
110,United 5 2 0 8,assertive
111,a... a... when,interrogative
112,and that's a forward facing seat in non-smoking,assertive
113,you must do so by  6 o'clock the day before travel again,assertive
114,let me confirm that for you,assertive
115,this ticket is non-refundable non-changeable,assertive
116,45 pounds 50 will be debited from that account,assertive
117,and i think they're coming back on Sunday the 11th at 5 o'clock,assertive
118,you'll be able to get the train from Liverpool Lime Street at 11:35,assertive
119,and  i'm going to arrange for you to collect your tickets from the train station tomorrow,imperative
120,i'm still waiting on the London to Brussels,imperative
121,and arrange for you to collect your ticket 50 minutes before departure time on Monday  from Oxenholme station,assertive
122,you have to change at Wigan North Western,assertive
123,it's the number 5,assertive
124,that is a one-stop flight,assertive
125,Do Exercise daily.,imperative
126,you would receive a 50 percent refund less 5 pounds,assertive
127,full coach would be 586 each direction,assertive
128,and the total cost is going to be 155 pounds for the four adults and four children,assertive
129,and then departing again 5:55,assertive
130,the name of the business is,interrogative
